Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,"LateAircraftDelay",Oaname,OCity,OCountry,OLatitude,OLongitude,Daname,DCity,DCountry,DLatitude,DLongitude
2008,1,3,4,754,735,1002,1000,WN,3231,N772SW,128,145,113,2,19,IAD,TPA,810,5,10,0,,0,NA,NA,NA,NA,"NA",Washington Dulles Intl,Washington,United States,38.944533,-77.455811,Tampa Intl,Tampa,United States,27.975472,-82.53325
2008,1,3,4,926,930,1054,1100,WN,1746,N612SW,88,90,78,-6,-4,IND,BWI,515,3,7,0,,0,NA,NA,NA,NA,"NA",Indianapolis Intl,Indianapolis,United States,39.717331,-86.294383,Baltimore Washington Intl,Baltimore,United States,39.175361,-76.668333
2008,1,3,4,1940,1915,2121,2110,WN,378,N726SW,101,115,87,11,25,IND,JAX,688,4,10,0,,0,NA,NA,NA,NA,"NA",Indianapolis Intl,Indianapolis,United States,39.717331,-86.294383,Jacksonville Intl,Jacksonville,United States,30.494056,-81.687861
2008,1,3,4,1039,1040,1132,1150,WN,535,N428WN,233,250,219,-18,-1,IND,LAS,1591,7,7,0,,0,NA,NA,NA,NA,"NA",Indianapolis Intl,Indianapolis,United States,39.717331,-86.294383,Mc Carran Intl,Las Vegas,United States,36.080056,-115.15225
2008,1,3,4,1620,1620,1639,1655,WN,810,N648SW,79,95,70,-16,0,IND,MCI,451,3,6,0,,0,NA,NA,NA,NA,"NA",Indianapolis Intl,Indianapolis,United States,39.717331,-86.294383,Kansas City Intl,Kansas City,United States,39.297606,-94.713905
2008,1,3,4,1644,1510,1845,1725,WN,1333,N334SW,121,135,107,80,94,IND,MCO,828,6,8,0,,0,8,0,0,0,"72",Indianapolis Intl,Indianapolis,United States,39.717331,-86.294383,Orlando Intl,Orlando,United States,28.429394,-81.308994
2008,1,3,4,715,715,720,710,WN,1016,N765SW,65,55,37,10,0,IND,MDW,162,7,21,0,,0,NA,NA,NA,NA,"NA",Indianapolis Intl,Indianapolis,United States,39.717331,-86.294383,Chicago Midway Intl,Chicago,United States,41.785972,-87.752417
2008,1,3,4,1029,1020,1021,1010,WN,2272,N263WN,52,50,37,11,9,IND,MDW,162,6,9,0,,0,NA,NA,NA,NA,"NA",Indianapolis Intl,Indianapolis,United States,39.717331,-86.294383,Chicago Midway Intl,Chicago,United States,41.785972,-87.752417
2008,1,3,4,754,745,940,955,WN,1144,N778SW,226,250,205,-15,9,IND,PHX,1489,5,16,0,,0,NA,NA,NA,NA,"NA",Indianapolis Intl,Indianapolis,United States,39.717331,-86.294383,Phoenix Sky Harbor Intl,Phoenix,United States,33.434278,-112.011583
2008,1,3,4,1416,1325,1512,1435,WN,54,N643SW,56,70,49,37,51,ISP,BWI,220,2,5,0,,0,12,0,0,0,"25",Long Island Mac Arthur,Islip,United States,40.79525,-73.100222,Baltimore Washington Intl,Baltimore,United States,39.175361,-76.668333
2008,1,3,4,1657,1625,1754,1735,WN,623,N724SW,57,70,47,19,32,ISP,BWI,220,5,5,0,,0,7,0,0,0,"12",Long Island Mac Arthur,Islip,United States,40.79525,-73.100222,Baltimore Washington Intl,Baltimore,United States,39.175361,-76.668333
2008,1,3,4,1039,1030,1133,1140,WN,1244,N714CB,54,70,47,-7,9,ISP,BWI,220,2,5,0,,0,NA,NA,NA,NA,"NA",Long Island Mac Arthur,Islip,United States,40.79525,-73.100222,Baltimore Washington Intl,Baltimore,United States,39.175361,-76.668333
2008,1,3,4,1520,1455,1619,1605,WN,2553,N394SW,59,70,50,14,25,ISP,BWI,220,2,7,0,,0,NA,NA,NA,NA,"NA",Long Island Mac Arthur,Islip,United States,40.79525,-73.100222,Baltimore Washington Intl,Baltimore,United States,39.175361,-76.668333
2008,1,3,4,1954,1925,2239,2235,WN,1754,N243WN,165,190,155,4,29,ISP,FLL,1093,3,7,0,,0,NA,NA,NA,NA,"NA",Long Island Mac Arthur,Islip,United States,40.79525,-73.100222,Fort Lauderdale Hollywood Intl,Fort Lauderdale,United States,26.072583,-80.15275
2008,1,3,4,734,730,958,1020,WN,550,N712SW,324,350,314,-22,4,ISP,LAS,2283,2,8,0,,0,NA,NA,NA,NA,"NA",Long Island Mac Arthur,Islip,United States,40.79525,-73.100222,Mc Carran Intl,Las Vegas,United States,36.080056,-115.15225
2008,1,3,4,1008,1005,1234,1255,WN,543,N736SA,146,170,135,-21,3,ISP,MCO,972,5,6,0,,0,NA,NA,NA,NA,"NA",Long Island Mac Arthur,Islip,United States,40.79525,-73.100222,Orlando Intl,Orlando,United States,28.429394,-81.308994
2008,1,3,4,1312,1300,1546,1550,WN,1397,N247WN,154,170,140,-4,12,ISP,MCO,972,7,7,0,,0,NA,NA,NA,NA,"NA",Long Island Mac Arthur,Islip,United States,40.79525,-73.100222,Orlando Intl,Orlando,United States,28.429394,-81.308994
2008,1,3,4,1634,1555,1859,1845,WN,3480,N443WN,145,170,134,14,39,ISP,MCO,972,5,6,0,,0,NA,NA,NA,NA,"NA",Long Island Mac Arthur,Islip,United States,40.79525,-73.100222,Orlando Intl,Orlando,United States,28.429394,-81.308994
2008,1,3,4,1812,1650,1927,1815,WN,422,N779SW,135,145,118,72,82,ISP,MDW,765,6,11,0,,0,3,0,0,0,"69",Long Island Mac Arthur,Islip,United States,40.79525,-73.100222,Chicago Midway Intl,Chicago,United States,41.785972,-87.752417
2008,1,3,4,1424,1355,1531,1520,WN,2871,N709SW,127,145,113,11,29,ISP,MDW,765,8,6,0,,0,NA,NA,NA,NA,"NA",Long Island Mac Arthur,Islip,United States,40.79525,-73.100222,Chicago Midway Intl,Chicago,United States,41.785972,-87.752417
2008,1,3,4,1749,1725,2019,2030,WN,2175,N621SW,150,185,138,-11,24,ISP,PBI,1052,4,8,0,,0,NA,NA,NA,NA,"NA",Long Island Mac Arthur,Islip,United States,40.79525,-73.100222,Palm Beach Intl,West Palm Beach,United States,26.683161,-80.095589
2008,1,3,4,646,640,929,955,WN,3667,N280WN,163,195,151,-26,6,ISP,RSW,1101,3,9,0,,0,NA,NA,NA,NA,"NA",Long Island Mac Arthur,Islip,United States,40.79525,-73.100222,Southwest Florida Intl,Fort Myers,United States,26.536167,-81.755167
2008,1,3,4,1528,1510,1802,1810,WN,3858,N200WN,154,180,144,-8,18,ISP,TPA,1034,4,6,0,,0,NA,NA,NA,NA,"NA",Long Island Mac Arthur,Islip,United States,40.79525,-73.100222,Tampa Intl,Tampa,United States,27.975472,-82.53325
2008,1,3,4,831,830,1148,1140,WN,534,N286WN,137,130,123,8,1,JAN,BWI,888,5,9,0,,0,NA,NA,NA,NA,"NA",Jackson Evers Intl,Jackson,United States,32.311167,-90.075889,Baltimore Washington Intl,Baltimore,United States,39.175361,-76.668333
2008,1,3,4,2245,1730,2354,1850,WN,186,N792SW,69,80,59,304,315,JAN,HOU,359,3,7,0,,0,282,0,0,0,"22",Jackson Evers Intl,Jackson,United States,32.311167,-90.075889,William P Hobby,Houston,United States,29.645419,-95.278889
2008,1,3,4,1150,1145,1303,1305,WN,2124,N646SW,73,80,63,-2,5,JAN,HOU,359,3,7,0,,0,NA,NA,NA,NA,"NA",Jackson Evers Intl,Jackson,United States,32.311167,-90.075889,William P Hobby,Houston,United States,29.645419,-95.278889
2008,1,3,4,1038,945,1314,1225,WN,1035,N346SW,96,100,81,49,53,JAN,MCO,587,8,7,0,,0,7,0,0,0,"42",Jackson Evers Intl,Jackson,United States,32.311167,-90.075889,Orlando Intl,Orlando,United States,28.429394,-81.308994
2008,1,3,4,700,700,851,900,WN,449,N528SW,111,120,99,-9,0,JAN,MDW,666,6,6,0,,0,NA,NA,NA,NA,"NA",Jackson Evers Intl,Jackson,United States,32.311167,-90.075889,Chicago Midway Intl,Chicago,United States,41.785972,-87.752417
2008,1,3,4,646,620,725,655,WN,1580,N243WN,99,95,77,30,26,JAX,BNA,484,6,16,0,,0,26,0,4,0,"0",Jacksonville Intl,Jacksonville,United States,30.494056,-81.687861,Nashville Intl,Nashville,United States,36.124472,-86.678194
2008,1,3,4,1535,1535,1603,1610,WN,2804,N255WN,88,95,74,-7,0,JAX,BNA,484,5,9,0,,0,NA,NA,NA,NA,"NA",Jacksonville Intl,Jacksonville,United States,30.494056,-81.687861,Nashville Intl,Nashville,United States,36.124472,-86.678194
2008,1,3,4,1053,1055,1245,1240,WN,433,N264LV,112,105,96,5,-2,JAX,BWI,663,7,9,0,,0,NA,NA,NA,NA,"NA",Jacksonville Intl,Jacksonville,United States,30.494056,-81.687861,Baltimore Washington Intl,Baltimore,United States,39.175361,-76.668333
